id_e,id_a,id_g,trait_marketing_consent,trait_prizm_segment,trait_income,trait_marital_status,trait_education_level,trait_age_range
93b42cb8cffe8558bee3ba026e90c7a72826119dd0863aaa2ba648ad97788598,73d9d013-4ecc-490f-a05b-25efe60a732e,1cef8c39-20fd-4437-b952-42eba592ef64,True,Scholars and Patriots,100-150K,Married,Post-Graduate,
865bc69fb2761fc4ea174be9e60feb2f3de6059f022f11253945c689bb251498,3dfc0e79-d303-45b8-8249-4b3640c79832,bc5c8045-8b8d-444f-bc51-df6ff94c47c1,True,Soccer Moms,50-75K,,Some College,18-24
,cebc9555-0f29-4863-b4cf-d648ae0c6497,,True,Urban Achievers,100-150K,Single,Post-Graduate,18-24
410deb1dbc877adf0b6db663dbc9de1319a1037153a19ef134eb96608a300112,,f75adbfc-439d-4b9e-970f-d9bb521017f8,True,Cosmopolitan Elite,50-75K,Divorced,,55-64
d1ef99a05dca5c4c0ce7761e7396803767bd39e92927344fbf03b9a1508dacb0,,,False,Urban Achievers,150-200K,Married,Some College,45-54
a23a79465425a1949fe5d4eaa7beffb8b70d68b752cdcdd552761fb080443f7c,26f857f8-1466-4524-b8be-6fc8c1cb4094,7f4a4253-a469-41e2-90c9-f192111cbc8d,True,Soccer Moms,100-150K,Divorced,College Graduate,
e55fa74baccdf7bbbe6b918df2661920f04bccf548dfb0c5da813336a26c37e9,b6d5d8e0-d0fd-4ad6-9a33-d165b0a83f96,1842f2df-4839-4288-87a5-c909cd1aede1,False,Country Squires,,Divorced,No High School,
00c36e8326f5da72505295824a16bba6c23e4d84ecd4bc6bdaeb75d1fe1032b1,06d7f547-fb09-4ca3-a0e7-b45d692de4f8,0ca19e30-589c-40e1-9279-6ef1030dbe68,True,Cosmopolitan Elite,25-50K,Married,No High School,18-24
4bb73c97d7027780d8b3638feb3effcc23696c394d06e83ba0e096bfc1de5ae6,d9e88cee-003e-456c-9535-b8ff601da22c,59ea0d6a-5fd6-4f39-9a7d-6b04e6c19d3a,True,Rural Bucolia,< 25K,Divorced,High School Graduate,35-44
b14ef759467a27795dafa1820bfdacf7282e699c722ac5a2744d2197ee4b609c,c6dae6b9-c6ca-435d-832d-69cbc61194b2,,True,Metro Renters,75-100K,Domestic Partnership,Some College,55-64
