id_e,id_a,id_g,trait_marketing_consent,trait_prizm_segment,trait_income,trait_marital_status,trait_education_level,trait_age_range
,1387357c-4b1d-450f-87b5-322e5d4dc9f9,22baf351-ae73-4a78-a7ae-f1799403682d,False,Metro Renters,50-75K,Single,Post-Graduate,
d459b4f2db6bc9af56b759af9f00d1e8e8a75e45352053c4f3937fcbc6a89bff,1606e8ae-0f4a-46e0-b3a3-e93d5ad41cc7,75e749e4-f12d-491d-9365-566287508a52,True,Rural Bucolia,150-200K,,,35-44
99361658d864feeed59a83e9f9463e9a14e8113c165691f07f4e46e83132c394,,e63ea062-5ffe-40bf-a293-2f71962be0de,True,New Empty Nests,150-200K,Divorced,,25-34
,35d33076-ee13-49a3-bbd6-2536dacf93b9,,True,,,,Post-Graduate,35-44
1e5ade5ee2df875a6c106ab685fdcdb20f2d117e056624bbaf2885f030a1d716,29f404b1-96d9-4cb2-b1ef-d29d9cb8984b,71e41d9e-0ef2-4f43-b201-2250718099cf,True,Country Squires,50-75K,Domestic Partnership,Some College,35-44
29047699eae3d07fafae4265243dcb3a0c2f63bc5ad6101458173dad70206c8d,58472517-a44c-4a4d-b162-cb1edbf970dd,767f63b0-233a-4dd8-b9e9-659fb3126a3c,True,,150-200K,Widowed,Post-Graduate,35-44
42fcd4ee4f1fc6456de49433843302e695fcf4f47454b68c23469dc1e8f80a6c,70d997c7-176e-4da0-a89e-712875ba538e,516b6352-b038-4ca5-8b55-3673ece1d355,True,New Empty Nests,< 25K,Widowed,College Graduate,35-44
b0db6324630cdc78225931d2cd7734ea4a38d9ac091267c1252d44661bf99ee5,4638be42-de9f-4bbf-9dfd-cd27816c49a8,2785d946-59e8-4f75-9deb-827c4c929741,True,Blue Blood Estates,75-100K,Single,Some College,55-64
5e6e52fe14a42f3473cbb60a70056b1e85f59423165a4f8ffeca384c5e2526fc,,3fd78bcb-d0a9-4df9-af67-995dab17ec1a,True,Blue Blood Estates,,Separated,No High School,
9511cd64620d9523cc6513a1f41f174e72f7d81771b4d5c8a9443d00b1600e24,2f683cd6-a4d7-4603-afd7-573a22d7b46f,38b21159-a4e4-4438-8956-bcb942f55bdd,True,Country Squires,50-75K,Divorced,College Graduate,18-24
da3f911573ffc6f36aeb71fd074b205f4a5c823da485e477c032f23e500ac280,,8643f7c0-83cd-4335-817e-282e95116c91,False,Greenbelt Sports,150-200K,,College Graduate,45-54
b3e8bba79936253e77c65bf23fb3ab2a84e003ee21ab87cd31152435266a4f61,4b248ab5-dac8-40a8-8a65-51ddb20bb479,582803c5-70b5-478e-ae8b-083ab2b46909,True,Suburban Style,50-75K,Married,High School Graduate,35-44
c5f4f9eee48a1b9cfda07f5779970be6939d7593fc9563a3cf370020acbfb356,4f47494c-58de-47e1-9067-c1a5ffbcb3eb,51d65445-924b-4678-9fe7-beae49c277fc,True,Greenbelt Sports,,Married,Post-Graduate,65+
34427a6f3b47d847c255036e6fdd66bd7529a4005d06ef84b6c12a383dde0e87,3615b5c1-5d69-44a2-91c0-86c617e0d640,549b0f13-fbfd-410f-b33f-918ad7a49308,True,,75-100K,Single,Post-Graduate,
2e9143681daefae850fc5f40ee428df984b3618131f1a461e4b9d2e9ed80ddf3,f18e45a0-8959-4155-ab32-d475ab0835fe,dcbcabc6-f792-46f0-9bd3-46a7baf4b84a,True,,,Married,Some College,
027f3e9c7c68cf22b5df8dcecaf234838f2221e49feb07b25426b0d1d96e50f2,,f1c8eecc-f367-42c8-b10e-e0a4109b1bdc,True,Hometown Retired,,Separated,,65+
3460660b27d2590d6704def4b011952a10938d5bb8fd6bc4b1baf1bf837997fb,9a30cdc0-7f2b-48e4-ba38-01c52ef0aa5a,6b0426f1-ecd6-4fb8-aca1-09d7165e4a0e,True,Blue Blood Estates,,Domestic Partnership,,45-54
b5f2c2399937c67a37395da7743e480da99f5125a3c7499e727f5d57ad5c2dc5,,70d87183-f9dd-48aa-94de-eb82d4d8464b,True,New Homesteaders,25-50K,Divorced,Post-Graduate,35-44
01938354eaa98fdb6467f80f5cb78f2c74a50ec5fd726e5234b9bf9d3cddccdf,,6f737cae-fcb7-4c9f-ab47-3c1f26be0539,True,,100-150K,Married,,25-34
db52f45bece7074067cebb856b56e887569cdc777b6659578fdd4dd3981f98db,9cfbc708-f561-4188-945b-a0b3705506c8,f865b599-a14d-4b4a-b762-f523d9b0d7df,True,Salt of the Earth,> 200K,Divorced,Post-Graduate,
4edbb0daddcbdddc2192e338bbc4ffaeef28a95d6d5e70617b8c99edfd3df81d,c2a5c578-976a-4fe0-b242-98f14fa9af97,,True,Old Milltowns,75-100K,Separated,Post-Graduate,
0dd984f3a0b562efa76f7df4e94bd008335db2b75a490da112f8a8d0fa6f398d,61756911-45f1-49b0-964d-a31c1b208d0d,,True,Blue Blood Estates,> 200K,Divorced,Some College,
5cc1ef9d5b7aa5ecc8b06e49270e999b39b4634f704b5aaf3dcab8fd960f5836,15e84aea-5372-407f-86ac-290edd7ae6f6,15ce0a54-0070-44c7-b90e-fd6bae9f9d6c,True,Blue Blood Estates,25-50K,Separated,No High School,18-24
c64a63b8a70ea40fa5a5a091f1cb7d00c43c99ba3b06baa95cdb854c270711f3,c03d1a01-a364-4b01-8fbc-5702c416a1d7,94aa6b35-10c4-4db3-8a87-4eb5b0eef30d,True,,> 200K,Widowed,,65+
a5b903cfcee7d2ae03a940a61155ed5b7846e453bec8553ae6deaae3835abdc2,c44d9071-9ffc-41f8-aa5e-99a59bb28564,9740e217-1a6c-47ee-b001-9f70f0030fb9,True,Greenbelt Sports,100-150K,,,45-54
91efc85141945b1430670b209cb2af31d37df004c15dd834adfe4fdbfa549ca4,37faafdc-6e9d-4dde-a97c-238f01b0fac5,e6225678-634c-46a9-bf96-99a60952ee3b,True,Hometown Retired,25-50K,Domestic Partnership,College Graduate,55-64
e1b3724f1057fc68c94db9e7bf90b5f6c7c45d49fb32b7e2d5c627b2565dbff7,8755f505-96b5-4735-af91-b738468711fa,38b8f6b7-2a5b-404c-b5f0-8cce497de08d,True,,< 25K,,Post-Graduate,25-34
f2764e2356360cc51fb50fba559f84fcb23472b41627124af8b3a92d8a170f60,4adcaa4f-dd71-4aa4-ac84-1a2b7d52b28d,3ce33127-a665-4634-9bff-dd65fdda62af,True,Suburban Style,150-200K,,College Graduate,
8ff8e27420cad7bbbf43408ab6859b6260dbea4363c98aa3aea7536982a80ca0,4d232bee-d4a7-4a58-a02e-1c4747080afc,72460398-c88d-422b-b484-2742bc984130,True,Rural Bucolia,,Single,College Graduate,18-24
3c2d2ceb9edfe740c39a3bd36d8b22dfec104f2addae87fd7cccc89730a307d2,87a4d2b8-cbd9-40d1-9ce1-487089ca518c,,True,Suburban Style,100-150K,Divorced,Some College,65+
215e383b3d8b31156a4a3fc43df3109cc309efbcf1548efdafb06b0d2bb1ca2f,acb8c746-370b-4bbe-8bad-94ebc8751b3e,41d75015-c1c5-412e-890a-e50aee09ec38,True,Families in Motion,< 25K,Separated,Post-Graduate,45-54
bff1d0864eb13dad5cf8857463b4c7c711f7c0947c37838a90b275ae3fbb9a46,41596389-e218-4c6e-a1dc-556986751e6d,a178f7bf-1005-4013-ad38-51a59675c0a2,True,Landed Gentry,25-50K,Separated,Post-Graduate,35-44
c315aa8790748e59c45302348dc500d324c00a41430402fe28c7cbe03be5a2d4,,a33cf1b9-3436-4147-8be4-32e1c2398480,False,Booming with Confidence,< 25K,Divorced,Post-Graduate,
8d93cfee6341d22910373b500edd15e2f4423970a8aaf851d74e4908edaee4a2,78b3e2be-f1a3-41cb-8a21-9c8d7597f8b6,44f7d6c3-17c6-4c50-b796-ac1457bd46a9,False,New Empty Nests,25-50K,Single,,35-44
,,d4c25bdc-7fb4-44b2-bec3-c905763c5e79,True,Families in Motion,25-50K,Married,No High School,
a7580ac63757a11a7f0938eee2fac0b4c040a96b9e0188df9cab4ec71e3a0531,62f20ca7-1bb3-44e7-8d91-958f553751c3,,True,,75-100K,Domestic Partnership,Some College,
3d07917e2773ecd66f1004168c2bfe62858864a67a89930ceaf975d2c8d97759,e74cf900-4c74-41d4-b7aa-db4728c08f99,d7621075-93df-4338-b889-f57fec364c1b,True,Country Squires,75-100K,Domestic Partnership,High School Graduate,55-64
36e751548304107750195009767a9ab4e101862b189b19148395b36c7a55f8c1,,5fc98ed1-3075-4593-9cd8-1b86058bf006,False,Cosmopolitan Elite,,Domestic Partnership,College Graduate,65+
56f825e691d3fcd2745011343eee08c27d35ce753233faaaf9963c7a251ef324,746ebc1d-ea19-4d5d-9b07-105047e09266,0e2b34e5-cbfb-4019-a386-5abd3a6f3d2c,True,Scholars and Patriots,50-75K,Widowed,Post-Graduate,65+
1132ab38c16f35ba764c1b92b09b923ac00d935e5418d317a548eec35c09a162,aefaf873-6650-41e0-a9a8-0b0cb4a53d62,f789b5de-4d2e-4271-b785-d52931d6a69d,True,Families in Motion,75-100K,Domestic Partnership,High School Graduate,
bd8db995ff828ddedebc211f535b5af8810adf49dfbaba5082ea5385a0cad96a,0cef2120-35cf-4677-ac05-d206d1898958,5793febd-e30d-4792-8767-69256fd177d9,True,Greenbelt Sports,75-100K,Single,High School Graduate,45-54
923b2f758915f0617d6828c6bae5ec007cea27d169fc9ecae4a92b1a33840207,b1cf5638-2d48-4964-bb37-2880122508b3,73edd60e-5eea-484c-b37e-f70a2a5e2a55,True,,100-150K,Divorced,High School Graduate,
2fbc80c23a5d6b1102960ceb5d2488d0d9d59503795042a7a5958900d21f4e56,acbdae00-77ee-40bb-941e-4d2c0983c256,efc97106-7df0-46ec-ad52-bbb9589ebab9,True,Greenbelt Sports,50-75K,Separated,Some College,
36865b56fdfdf4d0a18e5514145c8ab17521a58d111c03cf2fecfcf40e2c7501,,bf22c8ad-0eea-4b33-a6a3-586cad483279,True,Booming with Confidence,,Widowed,College Graduate,
ba320f664af24a14d2dcf822bd08295002b529eaa76365591a89d1ce5287564d,b5bc4e02-8a4b-4925-8928-d4f6439ec107,4d6fa502-4cbf-4a79-9635-3b603eb2816c,True,Old Milltowns,75-100K,Separated,College Graduate,55-64
fb08a1d833dc747ef62ae6069c7aff26e323726487b29e2ecef3970a624f147b,28cbcdbb-5a26-489f-b940-e92f7b73a12b,6faa4e79-e08f-4b0a-9b06-573bf29f773a,True,,25-50K,Domestic Partnership,College Graduate,65+
031e608bd088aa74c0a73356f3e0fde768440a3961ebf10697be5e15061c9603,16e6ff79-e426-416d-96ba-934541e5880a,,True,Salt of the Earth,< 25K,Single,College Graduate,
8fadd1bba08bf2670967cd5c176f7c6e98ddf039aaa3ce823c0c774795f8be3d,64558eb7-b322-4794-82a5-57e839917b0b,,True,Blue Blood Estates,150-200K,Married,No High School,25-34
ce730a24ea5e97ec8bd6aadda18b0cc9e77ea735650222b02a02741f82cf1fc7,a446e7d5-ec3f-432e-b448-daee068b1d23,b84c9ff9-4a16-4ec2-80c6-d62c34954fce,True,Scholars and Patriots,75-100K,Domestic Partnership,,
a7e6eb26cf894609a34d6a848338bd70c273ffec529690c852ccaa8b4680f3ef,b7f3ee40-3e10-46db-b972-705b96171d47,,True,Scholars and Patriots,,Separated,Some College,65+
,,c2d39c2b-9d99-4852-883a-9f9593b0762c,True,Middleburg Managers,50-75K,Single,No High School,35-44
35c74fa7aed1acba5e13eb5c80c0bd32b34ca6ea761d62bbf5f46da5c374b45c,1d4c6225-86b8-4de7-956d-9cc99319d36a,7ea93206-a71a-4b82-ac9f-9ffeece2ab7c,True,Salt of the Earth,,Domestic Partnership,Post-Graduate,18-24
200ffb459ecb300c4b39ff256712fc1917608ad62f2c9a7b5429aa6fc6aead14,3e1adace-3098-494a-a0bb-68376a0662bf,e1b16cd8-fa34-46ba-b61c-2959f026ff73,True,Landed Gentry,150-200K,Widowed,Some College,
0e6662ea530e06827372fecf0ec3c54cbf7e414d2eb70492a126bd3246826045,463ba29d-63c7-4ad4-9a3e-a293c8afc062,,True,New Homesteaders,50-75K,Single,High School Graduate,
9b57a8db11a31e429467697a3244cecdba587d8fe18458963dc973e785794079,9fbe5f68-2ad4-439d-80b8-75f68489ea55,9a5655e6-44cd-41d6-bc78-579aff945667,True,Blue Blood Estates,25-50K,Domestic Partnership,College Graduate,
6a1dab38296e6020ca5a0ad64373d87462b16b36da8d6daf9256a28c7aa18981,f7c584bc-6dd4-4c74-b031-ab4b9fc1da73,,False,Suburban Style,50-75K,Single,Some College,65+
903b1e987a80afc6507a5acad6b030e0b56357d9f15867c62d150c35b072a290,2a0c15e9-8b48-4379-8b09-5322df4ba32f,e6b14b09-d7ec-4526-becf-851eea5df373,True,Blue Blood Estates,100-150K,Widowed,,35-44
93e0208c0b00684cead3fa0fcf49dd8c9f056c0e92dce133dd91873e2ea3efb9,e37b74a0-c88e-44ef-b51d-c72542a70d59,a2b4c721-9bd6-4ff1-94b4-7576a452ba16,True,Booming with Confidence,,,College Graduate,35-44
