id_c2,id_c5,id_e,trait_colour,trait_car,trait_age,trait_gender
761da6af3635e56868d1cec8b05c5fb00d76,761da6af3635e56868d1cec8b05c5fb00d76,d18c83a35b3aeb6c0b09f9f0edb698c7526c419dcdaab72ed08ee3a3b414d348,blue,Mercedes,42,female
fd440ceb83dea54f0679d0bd0ad5bb46043c,fd440ceb83dea54f0679d0bd0ad5bb46043c,bb11e2edf567c42276fabb97c7b1c23c35156284ad9bfe04732e0372bcbcb622,green,Mercedes,39,male
a2a70f7c252d24a4dad5cdeeea5c801394c0,a2a70f7c252d24a4dad5cdeeea5c801394c0,6480312f4d59e60ee4422f31ffe18d4e370b8bdc7ef9df5598c169188dd927ba,brown,Tesla,18,female
0bcef72d17c8072961463d6d4f944b279da3,0bcef72d17c8072961463d6d4f944b279da3,5c5f1d43a2b9d2a8366028ea23d035a1239005ade22b17c8e49c0edff7e70156,purple,Fiat,31,female
45dfc84f50e7016a08deb1191720af173a50,45dfc84f50e7016a08deb1191720af173a50,577ce7198047e47d0bb35b33d6e3570c59c937e91761f8c82781e27e80b93852,blue,GM,30,male
6fdbf48810a2c449b2618e7877f29b0d9234,6fdbf48810a2c449b2618e7877f29b0d9234,1a8c43da1b7a1b5ca61a34ed1b6907d8dd1234af88280aff410c7b2a73f20a9e,white,Honda,33,male
68de3183c20a2f59cdfcb23385439238d1d1,68de3183c20a2f59cdfcb23385439238d1d1,259aec8b3e200ff8d3e5e3d264a85ab97de8bbd179cb5345cf60da88e782e1d4,green,Honda,21,female
dd296fd845b59c23e28aea7e8829ded4c950,dd296fd845b59c23e28aea7e8829ded4c950,c8a87229056f2b5e82e37499f35f06cc4a13cf9fae2b1b313175999f5f6c3ae1,purple,VW,20,male
a356791aa89932d55cdafe7301c3811f4c53,a356791aa89932d55cdafe7301c3811f4c53,7faf0758824b31eb09553d943e78ea5fb2d491a39eeccfd6cda982d30999d6d1,green,Fiat,26,female
5691db6de9adeaab61c009445f67e0818db5,5691db6de9adeaab61c009445f67e0818db5,0ff98016cf67b31c46c8d4539e78d036bfd7f26725b22487aee077f7f0036118,purple,VW,18,female
310c850649e21441aaf7508decd6f9f05129,310c850649e21441aaf7508decd6f9f05129,c3ec0cb4039705378fdccfedefcbdf97f35318fb84b15188d1b7a7199e0db7be,black,BMW,21,male
403e929ef47efe053b1ce53b790fb7bdf061,403e929ef47efe053b1ce53b790fb7bdf061,12e04a6016b2040c62557a34af52abe6b130f461e745e76acde12dcb71399ac6,green,Honda,32,male
f33f82f1e9979edb1be26e6e9055793b1a38,f33f82f1e9979edb1be26e6e9055793b1a38,743dd84d7387312bf7abfad5358af7481b6c1fdcf433c209571314211bea40e6,brown,Toyota,40,female
32bf3b0be275b367501a5e107ff71937640e,32bf3b0be275b367501a5e107ff71937640e,f09034a61f9d01c2f0288a9b6e1d544c2f349b93e502c921eb4a44d3ea88cf13,yellow,Tesla,26,male
27b3c7a54ed1ad8fc5ca457d12ee958f434f,27b3c7a54ed1ad8fc5ca457d12ee958f434f,f71f592fc260fc5a2fd74447a5a1fe812488baa8108a7f56fdb53213baa741ba,red,Honda,31,male
8e2848857d5430ce81b260287345334af3f2,8e2848857d5430ce81b260287345334af3f2,d2ce9662710d8c42c0be80cbf8a5ae36b0f99d45340b12cfdf5870c520b75614,brown,Audi,18,female
7f4075ddf8b157ffa9326c2b08d14a4eed8d,7f4075ddf8b157ffa9326c2b08d14a4eed8d,cba9004f2c75c091999abe84fbbb8baa4dec297befe229cccdd359b2160f6d4c,pink,Honda,45,female
b1a34df73d7095321cb56b17d93e88a6f928,b1a34df73d7095321cb56b17d93e88a6f928,e751a50b82eca563a520ccd87def6b0d6f7b19cbe94ffed7a50e3c21a42a03df,blue,Mercedes,30,female
6941cea22064432b6c3bcec29137910f8757,6941cea22064432b6c3bcec29137910f8757,1d9f0212e821912259be21dbc204a711c7ecf1e33d76bc40f195baed469d1943,yellow,VW,41,male
f0bbc738c3a88aee1d277fd61da82ad9a627,f0bbc738c3a88aee1d277fd61da82ad9a627,63b02af41aca92d2eb076474c8ca080022ec93683f781266c5182a41450cb248,green,GM,22,male
9f4f921c57c765a45731a136b42cd2cffab0,9f4f921c57c765a45731a136b42cd2cffab0,87a3f3f5d7f80e3cf4abf6eca6aef99440a0889f96a394046a22ce0441c41a49,blue,VW,28,male
