id_e,id_a,id_g,trait_marketing_consent,trait_prizm_segment,trait_income,trait_marital_status,trait_education_level,trait_age_range
9551f6ff6935f400d1422e75827ee012baad045daa3b733e3369fef22b0c9b4e,a1daa8af-6392-4aab-a805-3357564bdc1d,13f46a0c-6a11-4409-beeb-634ab4bbe277,True,,,Separated,Some College,
b36a83701f1c3191e19722d6f90274bc1b5501fe69ebf33313e440fe4b0fe210,e27d326f-7b53-4ea6-b71d-63e5ce937c8e,c2614e85-d51c-496d-8bd1-1d40db8d68b4,True,,,Domestic Partnership,High School Graduate,35-44
2b3b2b9ce842ab8b6a6c614cb1f9604bb8a0d502d1af49c526b72b10894e95b5,,741933f9-0058-4be5-8a79-22d4507c3534,True,Striving Enclaves,50-75K,Separated,Some College,25-34
898628e28890f937bdf009391def42879c401a4bcf1b5fd24e738d9f5da8cbbb,,40e0ad4b-9084-41ce-adaf-614b1d13db1d,True,,100-150K,Divorced,,
40d71d3f998c168e7a254e75c0a1020185cfc67ab52790be92502835953fc41d,,23258cf7-4fcc-489b-ae6d-447444c2c49c,True,Connected Cosmopolitan,,Divorced,,
4d8f4dd97e0c7b6fed6367bed08adc1fe2c7f6d22fc76f46d63c674c10e4d062,ab57fd8e-39eb-4a67-baf4-b32585ecda42,841e6bfc-8cfd-423c-bdf9-4b292fc07536,True,Asian Sophisticates,75-100K,Divorced,High School Graduate,
b430419a8a3fa1ce5cafd92d89fe3e832b39b1f1cab0f351c1b270b585d5eded,1137e996-fc20-4f66-8424-a0e53621e281,557fc472-be0d-4adf-a91a-46b6ac58a47a,True,Struggling Urban Cores,50-75K,,Some College,55-64
38121022af9b425b5dbf9b56823cf14183bd617022a8bc39a5843c9d7035d039,91f19cfa-67e9-4dfa-81d7-ad6f19e68a25,ba5ec3a5-921b-4777-911c-870be7e5a856,True,Post-Industrial Strugglers,25-50K,Divorced,Some College,65+
675657c179a97bde8a8cb572bfe434126b57311f5e9b49171855c5b6d0952dc5,aeee2d07-2acd-4bef-8ef4-d116d1c5eb8b,8bf759f0-9579-4c13-b14e-713ba1b9b791,True,Cosmopolitan Elite,,Divorced,High School Graduate,
b1e700bec7b4c7c386a589aa095a87af1792fe4b7b95c011e52e6f73327b098e,65f59c57-4a2f-49da-9cf6-ddcbad68ce51,35a3b77c-b0bf-4d48-8cdf-9a7c6a8e2eaa,True,Striving Forward,25-50K,Divorced,Some College,18-24
1cc95683bbb5c48117e33ef95a500d2224f8c0df2e32b608622b51db69956982,,810e8705-8a8d-48f4-ba28-4c8f4b82ddb1,True,,100-150K,Divorced,Some College,65+
69e6267c53626874ae2ad01d9acae62c21ddfc993ae0967df0a69e13ea2747d7,,130f4e66-51b9-49ea-bc20-25d248b09a02,True,Surburban Style,75-100K,,High School Graduate,
882ecc75a8c8ab735ee5a9223cd6cd5e6bef1eec2a5da7957cb2a8ff7b2ab6cb,82c69528-3292-4d5a-bf64-65f5b8205338,42301205-662e-4a63-b06a-bee15e461715,True,,,,,55-64
f221e7d82b835de7bab094045e7dd90e0451500180497c8c7d4fb5ee19568280,ba345d60-1a5d-4501-bbe3-784182eadf56,394a64d3-96a4-45c9-9b1f-565583e99378,True,Suburban Discomfort,25-50K,,,18-24
241b6d9462fcc1986123393cd2e75cb4356647f401262691f7fe1f639415bca8,23bfe9be-03af-4c72-8a67-0efcb37fccd6,0f98a68b-5d30-41a5-b401-60e6d81f96be,True,Promising Families,50-75K,,,65+
19e2f1dbc9e6c95e44b1ac158fc7da85ef17b7a10712408949cbb76c0327f768,f3978368-3da7-48bd-9b99-68af5959fe4a,68052c8b-f702-46e1-bf96-af8f00b9a553,True,,100-150K,Separated,High School Graduate,65+
67df3e41329159dd30a10d56995bd963cdf45bef4432d1cdddd034a61d6bf53f,63f9593b-8056-47ef-ae20-6061d899296b,,True,Metro Minority Mix,75-100K,,High School Graduate,65+
93aa53ab9b59fb4220dc680e56f570703af13be19feff3c257436158db775050,c3590fe3-c0c0-4144-a5e1-62218f2b1793,2ef73983-5fa6-4e69-a7e1-e707ad075739,True,,,,Some College,65+
488500947eaecc9083606cb4cd6b8b2dbce09e3b513c069aa55ce11026bf88e5,576b4c9b-ae13-49f0-8c8c-02e07b2a21a0,4a6bd9ed-d1d4-4113-8f4c-2d4305ea0ad2,True,Urban Struggles,50-75K,Divorced,High School Graduate,18-24
66539894c8b69c8b65d6eb5eae0dcdecfc811c8ec3d4d3ab1bb135d9a8b778ad,,1b9e2645-2fb1-4dfa-aff1-89234b812172,True,Striving Forward,50-75K,Separated,Some College,65+
874c06ecc187c90d2fbdc21ef3b70c202e378e380cee50ad564ec11351f66341,ae40c3c7-f6ba-4d49-82d8-37dd78daf373,,True,Family Union,,Divorced,High School Graduate,45-54
7f76695c184a7084f522c097b2cfa304224a1be5fd07a517097532899a00d1e7,a243cf62-55d8-4b4d-8fe9-351039e9906a,05eaae6f-1294-4cc1-b63a-e4d80ee05109,True,,50-75K,Separated,,65+
686376fa04fb444aa2dba70805e188a2443dc0d536c1753f5a41f2b6fd21ac57,9973eb46-2976-460f-b063-66fedc3907e1,,True,,,Divorced,High School Graduate,
edd264cc8a18a5c5ecf6b013a0d566c0834fa821459682407a880943d7923553,95a8a7ed-19e9-4aea-9f67-4a2a2645abce,,True,Cosmopolitan Elite,,Divorced,,55-64
455e611757446dab1b02b2c4553727ba622bbd922cd1fb2a2cd6dcfa2978f68b,aa92c2fb-309e-410d-8181-bb11da3786a9,8e384b53-67fe-4bd8-9cea-024979af0f34,True,Family Union,,Divorced,,55-64
8c25af03c57c291b8dc1ecebab5688d2bc6b38c913102d5542406324e2668bb8,,d750b287-c7d3-4497-a24c-5a6c36b871fe,True,,25-50K,Widowed,Some College,55-64
72b2c786c65f1ba907092b7f8066e7a017da40d4dcf3f6199d44de48487420b2,c21ace31-29a6-4c3c-816b-6b265a587cd6,f1f17022-a4b5-4f44-9a5b-180f2f694aac,True,Asian Sophisticates,,Domestic Partnership,No High School,
cc491774cd2fdb0b6b9c51c5c7486537ff5001aef68eaed81e740e6d2018b66a,,150baff5-f0d0-4e93-92e6-7339d53564b0,True,Suburban Discomfort,75-100K,Divorced,High School Graduate,55-64
ad4552a28b86fc1eb3721b24c2fef76fa7660949437e0f8bd3713b1b7237bfd9,,,True,Downtown Striving,100-150K,,No High School,65+
465b1d6ac7dc2426ecdb8d4088e48df6da123fd1eb308cebf6a5343e7d962c9d,a7effcf9-f304-40ba-b53f-1e064907875a,619879b0-27e2-4bec-8f56-26841fd01ea6,True,,75-100K,,,55-64
ec0946868db078d04539e484582e614c94bb7e44a565b54efb24c2bdc09ffdab,66259b09-3305-46d2-b2f6-e8afb6aef3d0,cc56c02b-554a-4f69-b8ba-85290bace0c4,False,,,,High School Graduate,65+
efd6a580de69c99cd883b63a77cda4e9bd7d79fa66d8b5c775153adceb39dd20,,33cfc156-2320-45a0-82b5-6f579446a51e,True,,,Divorced,Some College,
7d2438818506f2057014c918930174ff5387b0f67eab305cf857fac65c7f1bfd,7789b61e-f72b-4e9e-ab03-01b0ceb482a3,40f32d79-4b6c-470d-8e1f-24b8481599ea,True,Struggling Suburbia,,Divorced,,65+
a562ac3d4054b78aa1897e6ce90928f8b377249be294aaa63d6f84d3ff827af7,,70ee7a5c-4161-4541-9650-165c0bd4ad19,True,Bright City Lights,25-50K,,High School Graduate,55-64
ba28612cb0c7ca6b13391a1bb7ed21945f0a95c67481bb5bbcc97b58a84b2e45,4da164d2-1da4-457c-a027-1b286802292a,f0f1073e-5cb2-433e-933a-01e1d64816e7,True,Newcomer City,150-200K,Domestic Partnership,,25-34
fbc9d5c359d8c01ac6af7e1c07397432bdd2f2f8570fa9ec603e710e92a5a133,10945185-f65f-49c9-83ea-55275a019f57,a7169fbe-c9ef-4574-a728-d6b5630e41f1,True,Family Union,,Domestic Partnership,Some College,55-64
0276ee7a363ce7dbf1f6daf66d22d1d80737cdc27b374c833b46d8618e05e305,,4688f5c9-a106-4a81-a1f0-dda97a2f4dcb,True,Rural Oldies,50-75K,Divorced,High School Graduate,
70d10a9896d627e766bcbc4fa65ce2326c2168e83c257f49945856a77c5f18dd,,eac151b0-d2fb-4c5f-9407-94f3a381d3ab,True,Cosmopolitan Elite,,Separated,High School Graduate,
c3a3191664df0d5c02f99c3e764eeeaa6b45b66ae80fdcfbebf056846a4c443d,e9e6eb89-ffff-456d-8214-b21f9e1c0764,65d8cb02-08be-47cd-b8c9-a5978cbf9902,True,,100-150K,Divorced,,45-54
8d9af2fcf6d24b79c9801982f6d541f06023b25c189600479fa84a78d0013863,,02087ad5-3c90-4588-b261-cfcd58725dc4,True,Enduring Seniors,,,Some College,25-34
a6d62fadd3064af68712b05c35bfbce07416ac011013014b4e66e37cadb3c309,5d7f085f-0486-4eb7-b440-70b6fb4ccb5f,86034693-9e36-4fe4-b7b1-52c87daaf30c,True,,50-75K,Separated,No High School,25-34
33c43b6e6295656b7f3e3eb0deaef8d97809fa20bdd12186d83e32eae998bc69,c7b3a49d-9c9a-4aca-81df-2aa0372a2143,30c56296-e515-45fb-88ea-6032db84641f,True,,,Divorced,,
0b4eed6a0d5eab16ee89d796aeb47fcc0f21394df7f54c8b3baf72467a67da6c,,442b46c1-8b03-44cf-80d6-19f2572fb8a4,True,No Place Like Home,,Divorced,,55-64
d594f7e25f464bde603a9732a1add02a8ef65fb7081743abfa4e469aa05f49a9,23dde3a2-680a-4e53-b06c-ca25a1c24b09,,True,Striving Forward,25-50K,Divorced,,
02a6a65b6c88b0dcc0bdd1a7c13493797820f72295ff3463eff6858d3e63e94c,1226b8c3-1cbb-4645-860d-6c7a57a0e9c5,59921cde-1991-49c4-8452-17054fe4e6ec,True,Cosmopolitan Elite,25-50K,Divorced,High School Graduate,65+
5a9a9d95db29e072ca70ff46c84e9ba83d7adf04655d47ed1e16e40060f459e1,e9ebc3f3-ff61-4610-8ff4-6ef9d564f25e,821b87c4-77e0-4f3f-b9ef-c6f3ce9d52c0,True,,,Separated,,65+
048389ec00f05f7fade4eff690f7a48611d923df70ae5a7ab33087b1b8db3e09,,3b77c6f9-3787-4aab-bd5b-cc51c196a110,True,Modest Metro Means,,Divorced,Some College,55-64
159ea7cd62233088a2496cfa4c4526562b6fc572636386903113bdedb8cca39b,25b9a638-b891-46df-9936-349bef811f4d,,True,Urban Ambition,,Divorced,Some College,
f5cd92ba48393c1c5f4cea57db2776564e45418c753dec5ee8bf3f20236392c9,,,True,Diverse Metro Mix,25-50K,Divorced,No High School,25-34
25ed52f3b8a3b88a725f960c2b1e50927fce5d8822f40d29848e9e784183b339,fa260a4c-b2e0-4ac2-828c-094e7b26d275,00885464-9173-48d4-8d55-0ff0fe48add9,True,Newcomer City,100-150K,Widowed,Post-Graduate,
